FIPS,CTYNAME,abbrv,state,county,ID,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16013,Blaine County,ID,ID,Blaine,208,0.311,0.598,10723,3340,6416,0.303,0.671,13288,4031,8919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30005,Blaine County,MT,MT,Blaine,209,0.476,0.449,2645,1259,1187,0.471,0.509,3121,1469,1589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31009,Blaine County,NE,NE,Blaine,210,0.872,0.096,313,273,30,0.883,0.11,317,280,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40011,Blaine County,OK,OK,Blaine,211,0.76,0.187,3793,2884,711,0.804,0.176,3901,3136,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42013,Blair County,PA,PA,Blair,212,0.715,0.252,52029,37224,13093,0.712,0.278,62784,44714,17425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48031,Blanco County,TX,TX,Blanco,213,0.743,0.219,5669,4212,1244,0.732,0.257,7419,5429,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51021,Bland County,VA,VA,Bland,214,0.823,0.145,3124,2572,453,0.835,0.153,3475,2903,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13023,Bleckley County,GA,GA,Bleckley,215,0.753,0.222,4934,3717,1094,0.758,0.23,5706,4328,1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47007,Bledsoe County,TN,TN,Bledsoe,216,0.779,0.193,4650,3621,896,0.821,0.169,5758,4725,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Blount County,AL,AL,Blount,217,0.899,0.085,25384,22808,2150,0.896,0.096,27459,24595,2627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
